id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1125491474081001824,Private bedroom in Newark Room A,24561515,Eren,,South,40.7091,-74.21736,Private room,49,1,47,2024-12-29,5.26,5,28,47,
1125550777108851048,Ruby Diamond/ Walk to Penn station!,216631614,Samir,,Central,40.7285708,-74.1750352,Private room,46,1,41,2024-12-11,4.52,7,353,41,
1127078679180749943,"Fleur de Lis Rm next to NYC train & EWR, Penn",52659070,LilyRentals,,Central,40.74866,-74.18525,Private room,34,14,1,2024-12-04,1,93,263,1,
1127110094397502408,"Flower Elegance Rm next to NYC train, Penn & EWR",52659070,LilyRentals,,Central,40.74871,-74.18559,Private room,32,14,3,2024-06-01,0.37,93,243,3,
1127117116180783669,"Italian Riviera Rm next to NYC train, EWR, Penn",52659070,LilyRentals,,Central,40.74871,-74.18418,Private room,40,14,0,,,93,270,0,
1127492800319929774,Luxe Newark Retreat w/ Rooftop Deck: Pets Welcome!,121680792,Evolve,,West,40.73927,-74.20101,Entire home/apt,364,2,10,2024-12-15,1.15,12,343,10,
1127800312115578826,"Flower Power Rm near NYC train, EWR & Penn Station",480222081,"Adrienne,Jasson",,Central,40.74979,-74.18353,Private room,36,30,1,2024-08-31,0.24,55,270,1,
1128280539952493933,"Under the Sea Peaceful Rm Near NYC, Penn, & EWR",52659070,LilyRentals,,Central,40.75743,-74.18691,Private room,35,14,0,,,93,269,0,
1128311682303315623,A -Comfy private room A,168575385,Samira,,South,40.7148088,-74.2108537,Private room,,3,10,2024-12-20,1.15,12,84,10,
1128335780996782424,D- Comfy private room D,168575385,Samira,,South,40.7148088,-74.2108537,Private room,,3,20,2024-12-10,2.29,12,87,20,
1128338136780646127,"Fleur de Lis Spacious Rm Near Penn, NYC",52659070,LilyRentals,,Central,40.74822,-74.18435,Private room,39,14,1,2024-08-18,0.22,93,269,1,
