id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price
48845751,Manhattan,Upper East Side,40.77726,-73.955,Entire home/apt,1286.0
48919541,Brooklyn,Williamsburg,40.71907,-73.95506,Entire home/apt,160.0
48659103,Queens,Queens Village,40.71053850281057,-73.740816241397,Entire home/apt,139.0
48674402,Brooklyn,Williamsburg,40.71543,-73.96392,Entire home/apt,204.0
48942624,Manhattan,Upper East Side,40.770451,-73.955894,Entire home/apt,119.0
48976390,Manhattan,Upper East Side,40.77021,-73.95386,Entire home/apt,95.0
49018761,Manhattan,Upper East Side,40.77622,-73.95519,Entire home/apt,200.0
49132815,Manhattan,Upper East Side,40.78186,-73.95203,Entire home/apt,95.0
49177425,Manhattan,Upper East Side,40.76298,-73.95947,Entire home/apt,200.0
49199952,Manhattan,Upper East Side,40.76164,-73.96633,Entire home/apt,158.0
49208965,Brooklyn,Bay Ridge,40.63607,-74.02389,Entire home/apt,109.0
49409612,Manhattan,Upper East Side,40.77796,-73.96073,Entire home/apt,167.0
49447343,Brooklyn,Bushwick,40.68914,-73.90994,Entire home/apt,119.0
49074726,Manhattan,Upper East Side,40.76400375366211,-73.96622467041016,Entire home/apt,149.0
49226616,Brooklyn,Williamsburg,40.71696,-73.95973,Entire home/apt,190.0
49241564,Manhattan,Upper East Side,40.761182,-73.96527259999999,Entire home/apt,269.0
49256890,Manhattan,Upper East Side,40.77543,-73.95107,Entire home/apt,197.0
49258856,Manhattan,Upper East Side,40.77242660522461,-73.95455169677734,Entire home/apt,127.0
49260138,Manhattan,Upper East Side,40.77463,-73.94774,Entire home/apt,134.0
49260325,Brooklyn,Williamsburg,40.71009,-73.95762,Entire home/apt,133.0
49475002,Manhattan,Upper East Side,40.77592,-73.94643,Entire home/apt,268.0
49491879,Manhattan,Upper East Side,40.77592,-73.94643,Entire home/apt,270.0
49512718,Manhattan,Upper East Side,40.76993,-73.95647,Entire home/apt,128.0
49534641,Manhattan,Upper East Side,40.77203,-73.95703,Entire home/apt,129.0
49612318,Manhattan,Upper East Side,40.78033,-73.954,Entire home/apt,100.0
49813829,Queens,Jamaica,40.67763,-73.78272,Entire home/apt,94.0
49860773,Brooklyn,Williamsburg,40.70991,-73.94466,Entire home/apt,225.0
49659537,Manhattan,Upper East Side,40.77456,-73.94879,Entire home/apt,246.0
49691549,Brooklyn,Flatlands,40.63278,-73.91964,Entire home/apt,1100.0
49707129,Brooklyn,Bushwick,40.6952,-73.9245,Entire home/apt,164.0
49733510,Brooklyn,Bushwick,40.69398,-73.91984,Entire home/apt,220.0
49733992,Brooklyn,Williamsburg,40.72049,-73.9563,Entire home/apt,160.0
49735358,Manhattan,Upper East Side,40.77056,-73.95134,Entire home/apt,110.0
49881509,Manhattan,East Harlem,40.80544,-73.94157,Entire home/apt,360.0
49895566,Manhattan,Upper East Side,40.7777024,-73.9522846,Entire home/apt,218.0
49927058,Manhattan,East Harlem,40.79986,-73.93621,Entire home/apt,117.0
49964381,Brooklyn,Williamsburg,40.71039,-73.95965,Entire home/apt,199.0
49996255,Brooklyn,Williamsburg,40.71133,-73.95296,Entire home/apt,135.0
50132114,Manhattan,Upper East Side,40.75894,-73.95951,Entire home/apt,164.0
50133987,Brooklyn,Flatlands,40.62133,-73.92777,Entire home/apt,120.0
50152840,Brooklyn,Williamsburg,40.71946876166647,-73.94270360469818,Entire home/apt,135.0
50231445,Brooklyn,Bushwick,40.69224,-73.9202,Entire home/apt,101.0
50282803,Brooklyn,Williamsburg,40.70866,-73.94245,Entire home/apt,210.0
50309369,Brooklyn,Williamsburg,40.70743,-73.96251,Entire home/apt,140.0
50373477,Queens,Astoria,40.75807435122504,-73.91996740990956,Entire home/apt,220.0
50587797,Brooklyn,Williamsburg,40.71971,-73.96033,Entire home/apt,200.0
50181296,Manhattan,East Harlem,40.78489,-73.94689,Entire home/apt,45.0
50197603,Manhattan,Upper East Side,40.77242660522461,-73.95455169677734,Entire home/apt,154.0
50439191,Brooklyn,Bushwick,40.7055,-73.91841,Entire home/apt,82.0
50444487,Manhattan,Upper East Side,40.77586,-73.96099,Entire home/apt,296.0
50623654,Manhattan,Upper East Side,40.75898,-73.95983,Entire home/apt,151.0
50639364,Queens,Jamaica,40.67062,-73.77775,Entire home/apt,133.0
50697485,Brooklyn,Williamsburg,40.71666,-73.95862,Entire home/apt,240.0
50698344,Manhattan,Upper East Side,40.77088,-73.95755,Entire home/apt,158.0
50740601,Manhattan,Upper East Side,40.76836,-73.95273,Entire home/apt,138.0
50925457,Manhattan,Upper East Side,40.78451,-73.94841,Entire home/apt,228.0
50547429,Manhattan,Upper East Side,40.777618408203125,-73.94929504394531,Entire home/apt,86.0
50564872,Manhattan,Upper East Side,40.76177,-73.96664,Entire home/apt,158.0
50743177,Brooklyn,Williamsburg,40.70696,-73.94717,Entire home/apt,155.0
50744441,Manhattan,Upper East Side,40.770451,-73.955894,Entire home/apt,119.0
50762178,Manhattan,Upper East Side,40.76117,-73.96505,Entire home/apt,100.0
50788937,Manhattan,Upper East Side,40.78156,-73.95825,Entire home/apt,575.0
50809342,Brooklyn,Williamsburg,40.71024,-73.96103,Entire home/apt,95.0
50866798,Brooklyn,Williamsburg,40.71647,-73.95818,Entire home/apt,360.0
50957892,Manhattan,East Harlem,40.79349741033244,-73.93981217485653,Entire home/apt,98.0
50961550,Brooklyn,Williamsburg,40.70759,-73.94238,Entire home/apt,103.0
50971404,Brooklyn,Bushwick,40.68776,-73.90614,Entire home/apt,205.0
50992996,Brooklyn,Williamsburg,40.71318,-73.94326,Entire home/apt,267.0
51003836,Manhattan,East Harlem,40.805196856180494,-73.94029731138076,Entire home/apt,200.0
